id,type,date,value,category,description,payment_method,status,equipment_id,contract_id,created_at,reference,is_fixed,sector,fixed_duration_months,installment_number,installment_total,cost_center_id,debit_amount,debit_description,has_debit
50a2880e-213d-446b-9a34-a8328d8351fe,DESPESA,2026-03-01,131924.60,impostos,Imposto Now,,CONFIRMADO,,,2025-12-03 16:46:32.436902+00,,false,imposto,,6,,cabralia,0.00,,false
50b4bd2d-6fd4-4044-83ae-da1d82303876,DESPESA,2026-07-01,10000.00,terceirizados,Locação Pá Carregadeira,,CONFIRMADO,,,2025-12-03 18:11:31.304575+00,,false,gestao,,10,,cabralia,0.00,,false
515283b7-9a73-42e3-b9cb-5517c2a8eb7b,DESPESA,2026-02-01,3581.66,terceirizados,Salário Operador Prancha Ronaldo/Sid,,CONFIRMADO,,,2025-12-03 16:18:31.898826+00,,false,terceirizados,,5,,cabralia,0.00,,false
516d2cf9-d21d-4b3c-9b18-aa45a84127ed,DESPESA,2026-04-01,21000.00,terceirizados,Locação Caçamba 02 Felipe,,CONFIRMADO,,,2025-12-03 16:18:12.973559+00,,false,felipe_viatransportes,,7,,cabralia,0.00,,false
530969a4-c822-4ebc-95b8-0069ae590f9a,DESPESA,2026-06-01,22000.00,equipamentos,Locação Pá Carregadeira,,CONFIRMADO,c4ffceac-4dd7-4951-b478-6cb7f143416f,,2025-12-04 09:18:29.318073+00,,false,now,,9,,cabralia,0.00,,false
53a30f8e-8b5b-43fa-bece-1bd9de1fbb02,DESPESA,2026-05-01,21000.00,terceirizados,Locação Caçamba 02 Felipe,,CONFIRMADO,,,2025-12-03 16:18:13.051161+00,,false,felipe_viatransportes,,8,,cabralia,0.00,,false
53b91b9a-8d76-488c-8767-0b9fd35eb6f3,DESPESA,2026-02-01,21000.00,terceirizados,Locação Caçamba 03 Felipe,,CONFIRMADO,,,2025-12-03 16:18:13.748899+00,,false,felipe_viatransportes,,5,,cabralia,0.00,,false
558ada1c-c986-4d82-8c42-392c388e9079,DESPESA,2026-05-01,18000.00,equipamentos,Locação Retroescavadeira,,CONFIRMADO,04561899-3a03-45c9-aecd-c0c2d5dee96c,,2025-12-03 16:18:04.149582+00,,false,now,,8,,cabralia,0.00,,false
559f207b-1a12-48fd-b05a-6d05d268afa5,DESPESA,2025-11-01,-72744.44,terceirizados,Patrol + Revisões,,CONFIRMADO,,,2025-12-03 16:58:37.423454+00,,false,ronaldo,,2,,cabralia,0.00,,false
56f596df-ff9e-4cc4-9b76-16c3c6d278af,DESPESA,2026-05-01,10000.00,terceirizados,Locação Pá Carregadeira,,CONFIRMADO,,,2025-12-03 18:11:31.113802+00,,false,gestao,,8,,cabralia,0.00,,false
58a5c6c8-673c-4f94-8f41-0cfc1c18eb4d,DESPESA,2026-09-01,30000.00,equipamentos,Locação Motoniveladora,,CONFIRMADO,514b7ed1-6ebb-42bf-912b-fd2bfa8abdad,,2025-12-03 16:18:05.476683+00,,false,now,,12,,cabralia,0.00,,false
590adb05-10cf-4970-a9b7-0bfa6dcf2be7,DESPESA,2026-09-01,21000.00,terceirizados,Locação Retroescavadeira Felipe,,CONFIRMADO,,,2025-12-03 16:18:09.372405+00,,false,felipe_viatransportes,,12,,cabralia,0.00,,false
5919ae55-470c-4398-9fae-2c9edf2239b8,DESPESA,2025-10-01,13579.23,manutencao,Manutenção,,CONFIRMADO,,,2025-12-02 17:00:06.641045+00,,true,now,1,1,,cabralia,0.00,,false
5999022d-f12e-4da0-8deb-496fe560228e,DESPESA,2025-11-01,12000.00,terceirizados,Locação Caçamba 03,,CONFIRMADO,,,2025-12-03 16:18:25.906741+00,,false,particular,,2,,cabralia,0.00,,false
5a694972-06ad-4ed1-bac7-9427f127b5b2,DESPESA,2026-04-01,3256.00,funcionario,Salário Operador Bobcat,,CONFIRMADO,4bc7e9b9-0f0a-48c2-b7e3-bcc3ce8d342d,,2025-12-03 16:18:23.543801+00,,false,now,,7,,cabralia,0.00,,false
